datetime,temp,on_sec(s),power(%),P,I,D,PID
20230914 23:07:37,56.312,5,1,3.6880000000000024,9.172885683030223,0.0,0.0
20230914 23:07:42,56.312,5,1,3.6880000000000024,9.204385683030225,0.0,0.0
20230914 23:07:47,56.312,5,1,3.6880000000000024,9.220000000000006,0.0,0.0
20230914 23:07:52,56.437,5,1,3.6880000000000024,9.220000000000006,0.0,0.0
20230914 23:07:57,56.5,5,1,3.5630000000000024,9.189288718797414,-0.025,0.0
20230914 23:08:02,56.5,5,1,3.5,9.111179204426747,-0.03760000000000048,0.0
20230914 23:08:07,56.562,5,1,3.5,9.017179204426746,-0.03760000000000048,0.0
20230914 23:08:13,56.625,5,1,3.375,8.87657484511367,-0.025200000000000954,0.0
20230914 23:08:18,56.687,5,1,3.375,8.735970485800589,-0.025200000000000954,0.0
20230914 23:08:23,56.75,5,1,3.3130000000000024,8.59482545719457,-0.03760000000000048,0.0
20230914 23:08:28,56.812,5,1,3.25,8.46983616004611,-0.03760000000000048,0.0
20230914 23:08:33,56.875,5,1,3.1880000000000024,8.329485430005727,-0.037399999999999524,0.0
20230914 23:08:38,56.875,5,1,3.125,8.204496964988058,-0.03760000000000048,0.0
20230914 23:08:45,56.937,5,1,3.0630000000000024,8.048256624882908,-0.037399999999999524,0.0
20230914 23:08:50,57.062,5,1,3.0630000000000024,7.923268235273291,-0.037399999999999524,0.0
20230914 23:08:55,57.125,5,1,2.9380000000000024,7.783267979970217,-0.049799999999999046,0.0
20230914 23:09:00,57.125,5,1,2.875,7.627039405004583,-0.05,0.0
20230914 23:09:06,57.187,5,1,2.875,7.486132229335328,-0.03760000000000048,0.0
20230914 23:09:13,57.312,5,1,2.6880000000000024,7.314937026917527,-0.03760000000000048,0.0
20230914 23:09:18,57.312,5,1,2.6880000000000024,7.1437418244997275,-0.05,0.0
20230914 23:09:23,57.437,5,1,2.6880000000000024,6.986840891321924,-0.05,0.0
20230914 23:09:29,57.437,5,1,2.5630000000000024,6.814920196327945,-0.025,0.0
20230914 23:09:34,57.562,5,1,2.5630000000000024,6.658920196327946,0.0,0.0
20230914 23:09:39,57.625,5,1,2.4380000000000024,6.53399119194522,-0.025,0.0
20230914 23:09:44,57.75,5,1,2.375,6.361487254180169,-0.03760000000000048,0.0
20230914 23:09:49,57.812,5,1,2.25,6.174581848774762,-0.06260000000000049,0.0
20230914 23:09:54,57.875,5,1,2.1880000000000024,6.002798387756285,-0.05,0.0
