datetime,temp,on_sec(s),power(%),P,I,D,PID
20230914 20:52:24,48.0,5,1,12.0,0,0,0.0
20230914 20:52:29,48.125,5,1,12.0,0,0,0.0
20230914 20:52:34,48.187,5,1,11.875,0,0,0.0
20230914 20:52:41,48.25,5,1,11.75,0,0,0.0
20230914 20:52:46,48.312,5,1,11.75,0,0,0.0
20230914 20:52:51,48.437,5,1,11.688000000000002,0,0,0.0
20230914 20:52:58,48.5,5,1,11.5,0,0,0.0
20230914 20:53:03,48.562,5,1,11.5,0,0,0.0
20230914 20:53:08,48.562,5,1,11.438000000000002,0,0,0.0
20230914 20:53:13,48.687,5,1,11.438000000000002,0,0,0.0
20230914 20:53:19,48.812,5,1,11.313000000000002,0,0,0.0
20230914 20:53:24,48.875,5,1,11.188000000000002,0,0,0.0
20230914 20:53:30,49.0,5,1,11.125,0,0,0.0
20230914 20:53:36,49.0,5,1,11.0,0,0,0.0
20230914 20:53:41,49.187,5,1,11.0,0,0,0.0
20230914 20:53:46,49.312,5,1,10.813000000000002,0,0,0.0
20230914 20:53:52,49.375,5,1,10.625,0,0,0.0
20230914 20:53:57,49.437,5,1,10.625,0,0,0.0
20230914 20:54:03,49.5,5,1,10.563000000000002,0,0,0.0
20230914 20:54:08,49.625,5,1,10.5,0,0,0.0
20230914 20:54:13,49.687,5,1,10.375,0,0,0.0
20230914 20:54:18,49.75,5,1,10.313000000000002,0,0,0.0
20230914 20:54:23,49.812,5,1,10.25,0,0,0.0
20230914 20:54:28,49.937,5,1,10.188000000000002,0,0,0.0
20230914 20:54:33,50.0,5,1,10.063000000000002,0,0,0.0
20230914 20:54:39,50.125,5,1,10.0,0,0,0.0
20230914 20:54:45,50.187,5,1,9.813000000000002,0,0,0.0
20230914 20:54:50,50.312,5,1,9.813000000000002,0,0,0.0
20230914 20:54:55,50.375,5,1,9.688000000000002,0,0,0.0
20230914 20:55:00,50.437,5,1,9.625,0,0,0.0
20230914 20:55:05,50.562,5,1,9.563000000000002,0,0,0.0
20230914 20:55:10,50.625,5,1,9.438000000000002,0,0,0.0
20230914 20:55:15,50.687,5,1,9.375,0,0,0.0
20230914 20:55:20,50.75,5,1,9.313000000000002,0,0,0.0
20230914 20:55:25,50.75,5,1,9.25,0,0,0.0
20230914 20:55:30,50.875,5,1,9.25,0,0,0.0
20230914 20:55:35,51.0,5,1,9.125,0,0,0.0
20230914 20:55:40,51.062,5,1,9.0,0,0,0.0
20230914 20:55:45,51.125,5,1,8.938000000000002,0,0,0.0
20230914 20:55:50,51.25,5,1,8.875,0,0,0.0
20230914 20:55:55,51.312,5,1,8.75,0,0,0.0
20230914 20:56:00,51.312,5,1,8.688000000000002,0,0,0.0
20230914 20:56:05,51.312,5,1,8.688000000000002,0,0,0.0
20230914 20:56:10,51.312,5,1,8.688000000000002,0,0,0.0
20230914 20:56:16,51.75,5,1,8.688000000000002,0,0,0.0
20230914 20:56:22,51.812,5,1,8.188000000000002,0,0,0.0
20230914 20:56:27,51.812,5,1,8.188000000000002,0,0,0.0
20230914 20:56:32,51.812,5,1,8.188000000000002,0,0,0.0
20230914 20:56:37,52.125,5,1,8.188000000000002,0,0,0.0
20230914 20:56:42,52.187,5,1,7.875,0,0,0.0
20230914 20:56:47,52.25,5,1,7.813000000000002,0,0,0.0
