date,Open,High,Low,Close,Volume
2024-04-01 08:00:00,141.75,145.5,141.75,145.38,86.0
2024-04-01 08:05:00,145.51,145.51,145.51,145.51,1.0
2024-04-01 09:28:00,145.98,145.98,145.98,145.98,300.0
2024-04-01 09:29:00,145.98,146.23,145.98,146.23,311.0
2024-04-01 09:30:00,146.18,146.5,146.18,146.235,16817.0
2024-04-01 09:31:00,146.01,146.245,145.96,146.245,1861.0
2024-04-01 09:32:00,145.8,145.8,145.495,145.495,1207.0
2024-04-01 09:33:00,145.24,145.24,145.24,145.24,123.0
2024-04-01 09:34:00,145.437,145.437,145.2,145.23,568.0
2024-04-01 09:35:00,145.2,145.2,145.06,145.06,779.0
2024-04-01 09:36:00,145.24,145.24,144.89,144.96,4351.0
2024-04-01 09:37:00,144.57,144.86,144.42,144.86,2994.0
2024-04-01 09:38:00,144.815,144.815,144.8,144.8,1779.0
2024-04-01 09:39:00,144.96,145.03,144.95,144.96,1456.0
2024-04-01 09:40:00,144.935,145.04,144.79,144.88,2678.0
2024-04-01 09:41:00,145.05,145.16,145.05,145.075,2482.0
2024-04-01 09:42:00,145.26,145.3,145.25,145.3,1818.0
2024-04-01 09:43:00,145.3,145.3,145.3,145.3,371.0
2024-04-01 09:44:00,145.29,145.3,145.29,145.3,652.0
2024-04-01 09:45:00,145.25,145.25,145.0,145.08,3229.0
2024-04-01 09:46:00,145.045,145.07,145.045,145.07,255.0
2024-04-01 09:47:00,145.1,145.1,144.77,144.805,1316.0
2024-04-01 09:48:00,144.76,144.87,144.76,144.85,970.0
2024-04-01 09:49:00,144.815,144.91,144.81,144.91,1317.0
2024-04-01 09:50:00,145.02,145.05,144.92,145.017,1807.0
2024-04-01 09:51:00,145.11,145.3,145.095,145.3,2727.0
2024-04-01 09:52:00,145.22,145.22,145.22,145.22,408.0
2024-04-01 09:53:00,145.23,145.25,145.22,145.25,1899.0
2024-04-01 09:54:00,145.29,145.37,145.28,145.28,2381.0
2024-04-01 09:55:00,145.245,145.43,145.222,145.43,2467.0
2024-04-01 09:56:00,145.44,145.44,145.41,145.41,569.0
2024-04-01 09:57:00,145.51,145.565,145.51,145.53,1299.0
2024-04-01 09:58:00,145.48,145.61,145.46,145.61,3427.0
2024-04-01 09:59:00,145.66,145.715,145.63,145.715,5150.0
2024-04-01 10:00:00,145.715,145.715,145.46,145.58,4124.0
2024-04-01 10:01:00,145.7,145.785,145.68,145.785,3286.0
2024-04-01 10:02:00,145.68,145.74,145.66,145.74,2412.0
2024-04-01 10:03:00,145.74,145.77,145.695,145.72,1318.0
2024-04-01 10:04:00,145.775,145.78,145.47,145.48,5978.0
2024-04-01 10:05:00,145.56,145.56,145.465,145.56,1648.0
2024-04-01 10:06:00,145.52,145.54,145.47,145.54,1622.0
2024-04-01 10:07:00,145.56,145.61,145.525,145.53,1518.0
2024-04-01 10:08:00,145.53,145.54,145.42,145.5,2580.0
2024-04-01 10:09:00,145.47,145.5,145.4,145.5,2150.0
2024-04-01 10:10:00,145.45,145.52,145.395,145.395,1892.0
2024-04-01 10:11:00,145.34,145.365,145.297,145.31,2050.0
2024-04-01 10:12:00,145.37,145.5,145.37,145.49,3399.0
2024-04-01 10:13:00,145.55,145.55,145.48,145.48,391.0
2024-04-01 10:14:00,145.55,145.56,145.45,145.54,2509.0
2024-04-01 10:15:00,145.54,145.54,145.54,145.54,327.0
2024-04-01 10:16:00,145.55,145.55,145.43,145.43,2796.0
2024-04-01 10:17:00,145.36,145.36,145.195,145.195,1349.0
2024-04-01 10:18:00,145.26,145.29,145.26,145.29,2022.0
2024-04-01 10:19:00,145.23,145.36,145.23,145.36,1985.0
2024-04-01 10:20:00,145.35,145.41,145.315,145.315,1545.0
2024-04-01 10:21:00,145.33,145.41,145.33,145.35,1154.0
2024-04-01 10:22:00,145.403,145.404,145.403,145.403,186.0
2024-04-01 10:23:00,145.33,145.34,145.315,145.315,1063.0
2024-04-01 10:24:00,145.33,145.36,145.28,145.32,2813.0
2024-04-01 10:25:00,145.38,145.38,145.38,145.38,561.0
2024-04-01 10:26:00,145.355,145.413,145.26,145.32,4902.0
2024-04-01 10:27:00,145.28,145.34,145.23,145.275,1898.0
2024-04-01 10:28:00,145.19,145.24,145.19,145.24,687.0
2024-04-01 10:29:00,145.24,145.285,145.19,145.19,15017.0
2024-04-01 10:30:00,145.19,145.19,145.13,145.13,1155.0
2024-04-01 10:31:00,145.09,145.15,145.09,145.15,1749.0
2024-04-01 10:32:00,145.095,145.23,145.095,145.23,967.0
2024-04-01 10:33:00,145.19,145.27,145.17,145.235,1459.0
2024-04-01 10:34:00,145.29,145.29,145.2,145.25,1709.0
2024-04-01 10:35:00,145.18,145.2,145.18,145.2,954.0
2024-04-01 10:36:00,145.19,145.27,145.19,145.26,3176.0
2024-04-01 10:37:00,145.3,145.3,145.255,145.255,313.0
