PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
東京都三鷹市中原４丁目２６−２６,35.66477,139.56587,50.5,0,0
,35.6643,139.566,49.9,0.05345974441373181,0.05345974441373181
,35.66424,139.56602,49.9,0.0068990713257874306,0.06035881573951924
,35.66422,139.56603,49.7,0.002396671922966097,0.06275548766248534
,35.6642,139.56603,49.7,0.0022190557649737234,0.06497454342745906
,35.66417,139.56605,49.7,0.0037892985924251202,0.06876384201988418
,35.66415,139.56607,49.7,0.002864179688704022,0.0716280217085882
,35.6641,139.5661,49.6,0.00617695488091451,0.07780497658950271
,35.66372,139.56636,48.7,0.048289202669955775,0.12609417925945848
,35.66339,139.56658,47.2,0.04168235595109699,0.16777653521055547
,35.66334,139.56661,47,0.006176965571610259,0.17395350078216573
,35.66316,139.56673,46.3,0.02273584937761572,0.19668935015978145
,35.66309,139.56679,46.1,0.009478193177039388,0.20616754333682083
,35.66303,139.56682,45.9,0.0071900295423375565,0.21335757287915838
,35.66293,139.56689,45.4,0.012778027066454827,0.22613559994561322
,35.6627,139.56705,44.7,0.02934466885562032,0.25548026880123353
,35.66259,139.56713,44.5,0.014192543170325065,0.2696728119715586
,35.66245,139.56723,44.6,0.017979776284427682,0.28765258825598633
,35.66244,139.56724,44.6,0.0014321018412689793,0.2890846900972553
,35.66241,139.56726,44.6,0.003789316730091528,0.2928740068273468
,35.66239,139.56728,44.6,0.0028642043123390535,0.2957382111396859
,35.66237,139.56731,44.7,0.003507562686820737,0.29924577382650663
,35.66235,139.56732,44.7,0.002396679258774542,0.30164245308528115
,35.66233,139.56733,44.7,0.0023966793401936355,0.30403913242547476
,35.6623,139.56734,44.7,0.0034495404116191993,0.30748867283709397
,35.66228,139.56758,44.9,0.021844172192332416,0.3293328450294264
,35.66227,139.56765,44.9,0.006434638419132774,0.33576748344855917
,35.66225,139.56774,44.8,0.008445917283388973,0.3442134007319481
,35.66224,139.56783,45,0.008224377764221583,0.3524377784961697
,35.66222,139.56793,45,0.009322610863347602,0.3617603893595173
,35.6622,139.56804,44.8,0.010204330701001844,0.37196472006051917
,35.66218,139.56808,44.8,0.004247601341095802,0.376212321401615
,35.66217,139.56812,44.8,0.003788003189197338,0.38000032459081234
,35.66216,139.56816,44.8,0.0037880036219750998,0.38378832821278747
,35.66208,139.56838,44.8,0.021808365615782723,0.40559669382857017
,35.66207,139.56843,44.9,0.004661313924369384,0.4102580077529395
,35.66204,139.56854,45,0.010501619134630276,0.4207596268875698
,35.66198,139.56875,45.2,0.020146511251465028,0.44090613813903484
,35.66196,139.56881,45.3,0.005868532073003989,0.4467746702120388
,35.66194,139.5689,45.3,0.008445947643967755,0.4552206178560066
,35.66193,139.56893,45.3,0.0029342671291299515,0.45815488498513657
,35.66192,139.56896,45.4,0.002934267443681196,0.46108915242881776
,35.66191,139.56899,45.4,0.0029342677589392586,0.464023420187757
,35.66189,139.56904,45.5,0.005041933199062722,0.4690653533868197
,35.66183,139.56916,45.6,0.012742841951978032,0.48180819533879776
,35.66182,139.56918,45.6,0.0021238076603271204,0.48393200299912487
,35.66169,139.56944,45.6,0.027609517047500896,0.5115415200466258
,35.6616,139.56964,45.7,0.02068012072241396,0.5322216407690398
,35.66156,139.56973,45.8,0.009279399564313062,0.5415010403333529
,35.66153,139.56981,45.7,0.007971947762793401,0.5494729880961463
,35.66151,139.56987,45.8,0.0058685602303789365,0.5553415483265253
,35.66151,139.56988,45.8,0.0009054741308169038,0.5562470224573421
,35.6615,139.5699,45.8,0.0021238137907708806,0.558370836248113
,35.6615,139.56992,45.8,0.0018109484874268547,0.5601817847355398
,35.66149,139.56994,45.8,0.002123813983892848,0.5623055987194326
,35.66149,139.57001,45.8,0.006338320493695837,0.5686439192131285
,35.66148,139.57008,45.8,0.006434699891360799,0.5750786191044893
,35.66147,139.57015,45.8,0.00643470067223393,0.5815133197767233
,35.66147,139.57017,45.8,0.0018109491622321575,0.5833242689389554
,35.66147,139.5702,45.8,0.0027164237472084994,0.5860406926861639
,35.6615,139.57044,45.9,0.021984826413048122,0.608025519099212
,35.66152,139.57065,45.8,0.01914400125285407,0.6271695203520661
,35.66154,139.57077,45.4,0.01108996641033164,0.6382594867623977
,35.66155,139.57095,45,0.016336249298151227,0.654595736060549
,35.66156,139.57114,44.4,0.017239739751494672,0.6718354758120436
,35.66157,139.57116,44.4,0.0021238126422831404,0.6739592884543267
,35.66157,139.57117,44.4,0.0009054734534371758,0.6748647619077639
,35.66156,139.5712,44.4,0.0029342787074788713,0.6777990406152428
,35.66156,139.57122,44.1,0.0018109471326677308,0.6796099877479105
,35.66156,139.57123,44.1,0.0009054735663338664,0.6805154613142443
,35.66155,139.57125,44.1,0.002123812833639764,0.6826392741478841
,35.66155,139.57126,43.8,0.0009054736792305292,0.6835447478271146
,35.66154,139.57127,43.8,0.0014321081357493218,0.684976855962864
,35.66153,139.57129,43.8,0.0021238132188236064,0.6871006691816876
,35.66152,139.5713,43.8,0.001432108276528655,0.6885327774582162
,35.66151,139.57131,43.6,0.0014321083470973282,0.6899648858053135
,35.6615,139.57132,43.6,0.0014321084155441471,0.6913969942208577
,35.66147,139.57133,43.4,0.003449542426488039,0.6948465366473457
,35.66145,139.57134,43.4,0.002396682791258799,0.6972432194386046
,35.66118,139.57147,41,0.03218690883525955,0.7294301282738641
,35.66112,139.5715,40.5,0.007190052022037372,0.7366201802959015
,35.661,139.57157,39.8,0.014746052254840287,0.7513662325507418
,35.6609,139.57163,39.3,0.012353999076679147,0.7637202316274209
,35.66085,139.57166,39,0.006177000592594139,0.769897232220015
,35.66079,139.57169,38.9,0.007190055906076263,0.7770872881260913
,35.66068,139.57177,38.4,0.014192627880417951,0.7912799160065093
,35.66059,139.57184,38.2,0.011827521568985793,0.8031074375754951
,35.66048,139.57191,38,0.013752541144270694,0.8168599787197658
,35.66034,139.57203,37.8,0.018956591435971813,0.8358165701557376
,35.66027,139.57208,37.7,0.008989948635188967,0.8448065187909266
,35.66025,139.57211,37.7,0.0035076177999955197,0.8483141365909221
,35.6602,139.57215,37.6,0.00662531636744645,0.8549394529583686
,35.66015,139.5722,37.6,0.0071605885990306956,0.8621000415573993
,35.6601,139.57226,37.6,0.007764862072639389,0.8698649036300387
,35.65997,139.57239,37.4,0.018617543087534154,0.8884824467175728
,35.65994,139.57242,37.4,0.004296357774358367,0.8927788044919311
,35.65986,139.57249,37.4,0.010907021697045672,0.9036858261889769
,35.65975,139.5726,37.3,0.01575332338510272,0.9194391495740796
,35.65929,139.57303,37.2,0.06419456252756026,0.9836337121016399
,35.65922,139.57308,37.2,0.008989977312064709,0.9926236894137046
,35.65903,139.57325,37.3,0.0261030545794871,1.0187267439931917
,35.65904,139.57328,37.3,0.002934357854479925,1.0216611018476716
,35.65918,139.57369,37.2,0.040244158400065386,1.061905260247737
,35.65923,139.57382,37.1,0.013013243665819301,1.0749185039135563
,35.65925,139.57389,37,0.006715710018618397,1.0816342139321746
,35.65927,139.57396,37,0.0067157085274853505,1.08834992245966
