datetime,temp,on_sec(s),power(%),P,I,D,PID
20230910 06:25:52,47.0,5,1,18.0,0,0,0.0
20230910 06:25:57,47.0,5,1,18.0,0,0,0.0
20230910 06:26:04,47.187,5,1,17.813000000000002,0,0,0.0
20230910 06:26:09,47.25,5,1,17.813000000000002,0,0,0.0
20230910 06:26:14,47.312,5,1,17.75,0,0,0.0
20230910 06:26:19,47.375,5,1,17.688000000000002,0,0,0.0
20230910 06:26:25,47.437,5,1,17.563000000000002,0,0,0.0
20230910 06:26:30,47.5,5,1,17.563000000000002,0,0,0.0
20230910 06:26:35,47.562,5,1,17.5,0,0,0.0
20230910 06:26:40,47.625,5,1,17.438000000000002,0,0,0.0
20230910 06:26:45,47.687,5,1,17.375,0,0,0.0
20230910 06:26:52,47.75,5,1,17.25,0,0,0.0
20230910 06:26:57,47.812,5,1,17.25,0,0,0.0
20230910 06:27:02,47.937,5,1,17.188000000000002,0,0,0.0
20230910 06:27:07,48.0,5,1,17.063000000000002,0,0,0.0
20230910 06:27:12,48.062,5,1,17.0,0,0,0.0
20230910 06:27:17,48.125,5,1,16.938000000000002,0,0,0.0
20230910 06:27:22,48.187,5,1,16.875,0,0,0.0
20230910 06:27:27,48.25,5,1,16.813000000000002,0,0,0.0
20230910 06:27:32,48.312,5,1,16.75,0,0,0.0
20230910 06:27:37,48.375,5,1,16.688000000000002,0,0,0.0
20230910 06:27:42,48.375,5,1,16.625,0,0,0.0
20230910 06:27:47,48.5,5,1,16.625,0,0,0.0
20230910 06:27:54,48.562,5,1,16.438000000000002,0,0,0.0
20230910 06:27:59,48.625,5,1,16.438000000000002,0,0,0.0
20230910 06:28:04,48.687,5,1,16.375,0,0,0.0
20230910 06:28:09,48.75,5,1,16.313000000000002,0,0,0.0
20230910 06:28:14,48.812,5,1,16.25,0,0,0.0
20230910 06:28:19,48.875,5,1,16.188000000000002,0,0,0.0
20230910 06:28:25,48.937,5,1,16.063000000000002,0,0,0.0
20230910 06:28:30,49.0,5,1,16.063000000000002,0,0,0.0
20230910 06:28:35,49.062,5,1,16.0,0,0,0.0
20230910 06:28:40,49.125,5,1,15.938000000000002,0,0,0.0
20230910 06:28:45,49.25,5,1,15.875,0,0,0.0
20230910 06:28:50,49.25,5,1,15.75,0,0,0.0
20230910 06:28:55,49.312,5,1,15.75,0,0,0.0
20230910 06:29:00,49.312,5,1,15.688000000000002,0,0,0.0
20230910 06:29:05,49.437,5,1,15.688000000000002,0,0,0.0
20230910 06:29:10,49.5,5,1,15.563000000000002,0,0,0.0
20230910 06:29:15,49.562,5,1,15.5,0,0,0.0
20230910 06:29:20,49.687,5,1,15.438000000000002,0,0,0.0
20230910 06:29:25,49.75,5,1,15.313000000000002,0,0,0.0
20230910 06:29:31,49.812,5,1,15.188000000000002,0,0,0.0
20230910 06:29:36,49.875,5,1,15.188000000000002,0,0,0.0
20230910 06:29:41,49.875,5,1,15.125,0,0,0.0
20230910 06:29:46,50.0,5,1,15.125,0,0,0.0
20230910 06:29:51,50.062,5,1,15.0,0,0,0.0
20230910 06:29:56,50.125,5,1,14.938000000000002,0,0,0.0
20230910 06:30:02,50.125,5,1,14.875,0,0,0.0
20230910 06:30:07,50.25,5,1,14.875,0,0,0.0
20230910 06:30:13,50.312,5,1,14.75,0,0,0.0
20230910 06:30:20,50.375,5,1,14.625,0,0,0.0
20230910 06:30:25,50.5,5,1,14.625,0,0,0.0
20230910 06:30:30,50.562,5,1,14.5,0,0,0.0
20230910 06:30:36,50.625,5,1,14.375,0,0,0.0
20230910 06:30:41,50.687,5,1,14.375,0,0,0.0
20230910 06:30:47,50.75,5,1,14.25,0,0,0.0
20230910 06:30:52,50.812,5,1,14.25,0,0,0.0
20230910 06:30:58,50.875,5,1,14.188000000000002,0,0,0.0
20230910 06:31:04,51.0,5,1,14.125,0,0,0.0
20230910 06:31:10,51.062,5,1,13.938000000000002,0,0,0.0
20230910 06:31:15,51.125,5,1,13.938000000000002,0,0,0.0
20230910 06:31:21,51.125,5,1,13.875,0,0,0.0
20230910 06:31:26,51.25,5,1,13.875,0,0,0.0
20230910 06:31:32,51.312,5,1,13.75,0,0,0.0
20230910 06:31:37,51.375,5,1,13.688000000000002,0,0,0.0
20230910 06:31:42,51.437,5,1,13.625,0,0,0.0
