PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
今治駅,34.25828,133.05734,3,0,0
,34.26095,133.07157,16.7,1.343670891234354,1.343670891234354
,34.261,133.07183,27.7,0.02458026009889038,1.3682511513332445
,34.261,133.07188,29.5,0.0046050637343660016,1.3728562150676105
,34.26109,133.07235,37.7,0.044423904752056056,1.4172801198196665
,34.26114,133.07272,43.7,0.03452583051542713,1.4518059503350937
,34.26114,133.07278,43.6,0.00552606732640208,1.457332017661496
,34.26115,133.07286,43.3,0.007451122252365628,1.4647831399138616
,34.26115,133.07298,42.8,0.011052133347510163,1.4758352732613718
,34.26114,133.07302,42.5,0.003847423491645714,1.4796826967530174
,34.26112,133.07307,41.9,0.005111602134340212,1.4847942988873577
,34.26108,133.07311,41.5,0.005767141220147197,1.490561440107505
,34.26105,133.07313,41.5,0.0038036027774647975,1.4943650428849697
,34.26108,133.07322,39.3,0.00893216986998001,1.5032972127549498
,34.2611,133.07333,37.9,0.010371196318632689,1.5136684090735824
,34.2611,133.07336,37.6,0.002763034972420254,1.5164314440460027
,34.26112,133.07346,38.2,0.009473550377607994,1.5259049944236107
,34.2611,133.07432,39.7,0.0792380570958469,1.6051430515194576
,34.26109,133.07436,40.1,0.003847425576265749,1.6089904770957233
,34.2611,133.0744,40.5,0.0038474255734395973,1.6128379026691628
,34.2611,133.07454,41.7,0.012894163202009215,1.625732065871172
,34.26111,133.07467,42.7,0.012024426111018458,1.6377564919821905
,34.2611,133.07476,43.5,0.008362997940977885,1.6461194899231684
,34.2611,133.07488,44.5,0.01105213988706275,1.657171629810231
尾道駅,34.26104,133.07521,46.8,0.03111359597112372,1.6882852257813548
